Tmean (C)
4.94
1.39
2.17
4.5
6.44
7.94
5
5.61
10.11
10.67
8.44
7.89
7.94
8.94
8.83
1.89
2.67
3.28
2.94
2.72
2.33
-1.11
2.28
5.89
-1.28
-2.11
-0.44
-0.61
2.56
5
7.89
7.61
8.33
9.39
10
9.89
10.06
6.72
6.89
10.72
15
14.94
13.5
8.33
3.89
4.17
3.72
6.5
8.72
5.56
3.67
7.39
11.17
12.72
3.89
2.5
4.89
5.06
6.89
4.33
5.83
9.22
7.39
11.17
12.44
7.17
10.17
14.33
14.67
15.33
14.72
14.5
14.78
16.33
15.44
14.78
16.22
17.22
17.28
16.72
16.33
16
6.11
8.28
11.17
9.67
11.44
5.78
9.61
12.33
6.67
5.33
7.44
10.56
9.17
12.56
15.28
15
14.17
10.56
12.78
15.89
15.44
16.56
15.22
15
15.06
16.33
16.06
15.83
15.44
16.44
18.22
17.39
16.5
13.5
13.44
18.33
13.94
7.33
11.11
15.39
16.17
18.06
19.67
21.11
19.22
13.89
14
6.56
8.78
14.33
17.83
18.94
17.39
16.67
9.33
12
13.06
13.33
17.28
19.56
19.94
20.5
21.5
20.44
18.28
18.33
20.22
22.78
19.67
19.33
18.61
18.22
21.89
22.5
23.28
24.78
22.33
21.22
21.94
22.28
19.5
19.61
19.67
23.56
23.56
22.83
23.33
26
27.39
29.06
27.72
26.72
26.61
26.33
24.06
22.06
23
22.44
23.11
24.56
25.22
24.44
23.5
24.67
24.61
25.72
25.44
25.17
24.67
22.5
22.5
21.78
22.5
23.17
23.72
21.22
19.5
19.94
21.06
20.44
19.56
19.56
18.72
18.67
21.11
21.83
20.83
20.06
19.17
19.22
22
20.06
20.22
21.78
21.5
21.22
21.39
21.94
23
23.89
24.22
22.94
22.22
20.56
20.28
19.89
20.06
21.22
22.67
21.72
18.5
20.56
22.06
19.83
19.28
21.44
22.39
21.39
21.11
20.61
20.28
19.72
19.67
19.89
22.11
22.5
21.72
21.72
20.67
19.28
17.72
21.39
21.56
22.72
22.61
21.17
18.83
18.94
19.94
19.78
19.17
19.56
20.28
20.17
14.72
15
15.11
16.17
17.67
18.5
19.28
18.5
18.83
17.67
18.33
22
21.72
17.67
17
16.17
15.5
13.83
16.94
18.78
19.17
17.83
17.56
16.78
19.28
18.89
16.89
16.83
13
15.5
18.22
15.22
15.33
14.56
14.44
13.72
15.39
13
11.5
13.67
12.83
13
14.39
13.22
12.61
13.72
12
13.78
14.83
14.33
16.11
16.22
16.11
15.39
15.44
12.94
11.67
8.72
10
13.22
12.72
14.06
14.39
14.72
16.28
15.78
10.89
12.17
13.78
12.89
12.28
10.78
9.5
8.44
6.39
-0.72
3.5
8.56
9.22
9.06
7.78
8.61
7.28
3.11
3.78
2.61
2.78
4.72
6.39
2.28
-0.67
5.78
10.39
9.94
9.67
11
11.61
12.11
12
13.06
12.5
11.11
11.11
12.22
13.06
10.83
13.61
13.61
8.89
8.06
9.72
10.83
11.39
11.94
5
7.5
8.06
10.56
8.89
0.56
2.78
6.67
8.89
9.72
8.33
8.89
11.67
12.22
13.33
12.78
12.5
13.33
11.67
12.5
12.5
11.11
11.11
15.56
13.61
11.67
11.11
12.78
10
9.44
11.11
10
9.72
10.56
9.72
3.61
6.11
4.17
5.83
2.5
3.89
9.44
8.61
1.11
6.67
11.39
11.39
9.17
8.89
11.67
13.06
13.89
13.06
11.39
13.33
11.39
15.83
15.28
11.94
10
11.94
6.67
7.78
11.94
14.72
18.33
16.39
15.28
17.5
12.5
7.22
8.33
12.22
15.28
16.11
15.83
14.72
14.17
17.22
16.94
16.67
20
18.06
17.78
18.89
20.83
18.89
8.06
10.83
16.11
16.67
16.11
15.28
18.89
10.83
13.33
18.61
19.17
20
20.83
20
21.11
20.28
18.61
19.44
16.39
11.67
11.67
17.22
20.28
26.11
23.06
23.33
22.5
23.61
24.72
23.06
21.11
20.28
20.83
21.67
21.11
17.78
18.89
19.44
21.11
19.72
20
21.39
22.22
22.5
20
20.28
21.39
22.5
24.17
23.33
25.56
26.67
26.39
25.28
25
25.28
26.67
25.56
24.17
24.17
25.83
27.5
26.39
23.06
17.22
19.17
23.33
24.17
24.44
26.11
25.83
24.17
24.17
23.61
27.22
27.5
25.83
23.33
21.94
22.22
24.17
24.72
25.83
26.94
25.83
26.94
26.39
23.33
22.22
21.11
23.33
23.61
22.22
22.5
21.94
23.61
24.44
25.83
26.39
23.06
26.11
28.06
29.44
29.17
27.5
24.72
26.11
25.28
26.11
24.44
25.83
26.11
26.39
26.39
28.33
27.78
26.67
24.72
20.28
22.22
22.78
22.5
23.33
23.61
20.83
23.06
23.89
24.17
25
25.83
23.06
22.5
21.39
20.28
20.28
22.22
22.78
23.06
24.17
23.89
24.17
23.06
20.56
20.56
21.94
21.39
21.67
22.78
24.17
24.17
25.56
25.83
25.28
25.28
25.56
25.28
25.83
25.83
25.83
20
21.39
21.39
21.39
20
22.22
22.5
21.67
23.33
24.17
24.44
23.89
20
20.56
20.56
19.72
19.44
17.5
15
10.28
10.28
13.06
15
13.06
15.28
13.61
10
5.83
7.5
10
11.67
16.39
15.83
15
13.33
13.33
14.44
15.28
16.67
